,0
rmse,0.871016910140997
mae,0.6847512396863017
prec10t4,0.8059364903390225
tailprec10t4,0.7583551420708649
prec10t4_frac,0.9913166929463617
tailprec10t4_frac,0.9584673730041586
prec5t4,0.8326041248908057
tailprec5t4,0.7804199793780563
prec5t4_frac,0.9913166929463617
tailprec5t4_frac,0.9584673730041586
rec10t4,0.6402503594239894
tailrec10t4,0.7382273042611723
rec10t4_frac,0.9913166929463617
tailrec10t4_frac,0.9584673730041586
rec5t4,0.44201628026130796
tailrec5t4,0.5632557942351631
rec5t4_frac,0.9913166929463617
tailrec5t4_frac,0.9584673730041586
ndcg10,0.7953560316415345
tailndcg10,0.7749114950483478
ndcg10_frac,0.7232870936361351
tailndcg10_frac,0.5698442255672974
ndcg5,0.7875316444952276
tailndcg5,0.7657133571563268
ndcg5_frac,0.9259912768885006
tailndcg5_frac,0.7904199169776026
ndcgfull,0.9105404713293478
tailndcgfull,0.9059652718387483
ndcgfull_frac,1.0
tailndcgfull_frac,1.0
hits,14.77995846774624
tailhits,9.341888099748394
hits_frac,1.0
tailhits_frac,1.0
normhits,0.76085430620534
tailnormhits,0.7309569159073027
normhits_frac,0.9913166929463617
tailnormhits_frac,0.9584673730041586
avgrating,3.702850090758313
tailavgrating,3.5531289191178757
avgrating_frac,1.0
tailavgrating_frac,1.0
avgest,3.698028306774217
tailavgest,3.556258067049593
avgest_frac,1.0
tailavgest_frac,1.0
falsepos,4.286757610270274
tailfalsepos,3.1581268250660193
falsepos_frac,1.0
tailfalsepos_frac,1.0
totalhits,89188.2
tailtotalhits,55735.4
totalhits_frac,1.0
tailtotalhits_frac,1.0
