,0
rmse,0.8747903928321554
mae,0.6889579695574667
prec10t4,0.8045504164388225
tailprec10t4,0.7583926522029604
prec10t4_frac,0.9913166929463617
tailprec10t4_frac,0.9584673730041586
prec5t4,0.8319704607362267
tailprec5t4,0.7807846432051705
prec5t4_frac,0.9913166929463617
tailprec5t4_frac,0.9584673730041586
rec10t4,0.6396941275692729
tailrec10t4,0.7378832215248572
rec10t4_frac,0.9913166929463617
tailrec10t4_frac,0.9584673730041586
rec5t4,0.44231678990267403
tailrec5t4,0.5632362713572585
rec5t4_frac,0.9913166929463617
tailrec5t4_frac,0.9584673730041586
ndcg10,0.7938569871614858
tailndcg10,0.7744560147239825
ndcg10_frac,0.7232870936361351
tailndcg10_frac,0.5698442255672974
ndcg5,0.7868205625529433
tailndcg5,0.7657690738877859
ndcg5_frac,0.9259912768885006
tailndcg5_frac,0.7904199169776026
ndcgfull,0.9103920462842974
tailndcgfull,0.9062257836955336
ndcgfull_frac,1.0
tailndcgfull_frac,1.0
hits,14.75785050847951
tailhits,9.331524552194942
hits_frac,1.0
tailhits_frac,1.0
normhits,0.760348020771428
tailnormhits,0.7311240213169208
normhits_frac,0.9913166929463617
tailnormhits_frac,0.9584673730041586
avgrating,3.702850090758313
tailavgrating,3.5531289191178757
avgrating_frac,1.0
tailavgrating_frac,1.0
avgest,3.6957483380516445
tailavgest,3.554352425501309
avgest_frac,1.0
tailavgest_frac,1.0
falsepos,4.308865569537005
tailfalsepos,3.1684903726194733
falsepos_frac,1.0
tailfalsepos_frac,1.0
totalhits,89054.8
tailtotalhits,55673.6
totalhits_frac,1.0
tailtotalhits_frac,1.0
