,0
rmse,0.872895085608995
mae,0.6855579156439405
prec10t4,0.8045330580066572
tailprec10t4,0.7572343639171681
prec10t4_frac,0.9913166929463617
tailprec10t4_frac,0.9584673730041586
prec5t4,0.83265344433273
tailprec5t4,0.778957735857366
prec5t4_frac,0.9913166929463617
tailprec5t4_frac,0.9584673730041586
rec10t4,0.6396760321314792
tailrec10t4,0.7380517310154667
rec10t4_frac,0.9913166929463617
tailrec10t4_frac,0.9584673730041586
rec5t4,0.44153808825006263
tailrec5t4,0.5623439767948304
rec5t4_frac,0.9913166929463617
tailrec5t4_frac,0.9584673730041586
ndcg10,0.7938248347516571
tailndcg10,0.7739790900068175
ndcg10_frac,0.7232870936361351
tailndcg10_frac,0.5698442255672974
ndcg5,0.7860904866940615
tailndcg5,0.7637791437037607
ndcg5_frac,0.9259912768885006
tailndcg5_frac,0.7904199169776026
ndcgfull,0.9101756390028667
tailndcgfull,0.9055451470125402
ndcgfull_frac,1.0
tailndcgfull_frac,1.0
hits,14.76139410720414
tailhits,9.323679258376007
hits_frac,1.0
tailhits_frac,1.0
normhits,0.759867595110039
tailnormhits,0.729692014912341
normhits_frac,0.9913166929463617
tailnormhits_frac,0.9584673730041586
avgrating,3.702850090758313
tailavgrating,3.5531289191178757
avgrating_frac,1.0
tailavgrating_frac,1.0
avgest,3.699102930623225
tailavgest,3.5569199749693867
avgest_frac,1.0
tailavgest_frac,1.0
falsepos,4.3053219708123756
tailfalsepos,3.1763356664384075
falsepos_frac,1.0
tailfalsepos_frac,1.0
totalhits,89076.2
tailtotalhits,55626.8
totalhits_frac,1.0
tailtotalhits_frac,1.0
